Size, Time
 1, 0
 2, 0.2
 3, 0.4
 4, 0.6
 5, 1
 6, 1.2
 7, 1.4
 8, 1.4
 9, 2
 10, 2.8
 11, 2.8
 12, 3.6
 13, 3.6
 14, 4
 15, 5
 16, 5.2
 17, 6.2
 18, 6
 19, 6.8
 20, 7.4
 21, 8.2
 22, 7.8
 23, 8.2
 24, 8.8
 25, 9.6
 26, 10.2
 27, 9.2
 28, 10.8
 29, 10.4
 30, 10.8
 31, 12.6
 32, 11.6
 33, 12.6
 34, 12.2
 35, 12.6
 36, 14.8
 37, 13.4
 38, 14.2
 39, 15.6
 40, 16.4
 41, 16
 42, 16.2
 43, 17.4
 44, 17.2
 45, 20.8
 46, 18.8
 47, 18.6
 48, 20
 49, 21.4
