Size, Time
 1, 0.2
 2, 0.4
 3, 0.4
 4, 0.4
 5, 1
 6, 0.6
 7, 0.6
 8, 0.4
 9, 0.4
 10, 0.4
 11, 0.6
 12, 0.6
 13, 0.4
 14, 0.6
 15, 0.6
 16, 0.6
 17, 0.6
 18, 0.6
 19, 0.8
 20, 1
 21, 0.6
 22, 0.8
 23, 0.6
 24, 1
 25, 1.2
 26, 0.8
 27, 1
 28, 1.2
 29, 0.8
 30, 1.2
 31, 1.2
 32, 1.2
 33, 1.2
 34, 1.4
 35, 1.4
 36, 1.4
 37, 1.2
 38, 1.6
 39, 1.8
 40, 1.4
 41, 1.6
 42, 1.4
 43, 1.4
 44, 1.8
 45, 1.4
 46, 1.6
 47, 1.2
 48, 2
 49, 1.4
