Size, Time
 1, 0.2
 2, 0.2
 3, 0.4
 4, 0.8
 5, 1
 6, 1.2
 7, 1.4
 8, 1.4
 9, 2
 10, 2
 11, 2.2
 12, 2.4
 13, 2.8
 14, 3.6
 15, 4.2
 16, 4.8
 17, 4.6
 18, 5
 19, 5.8
 20, 6
 21, 6.2
 22, 6.8
 23, 7
 24, 8
 25, 8.4
 26, 8.4
 27, 10.6
 28, 8.8
 29, 10.2
 30, 9
 31, 10.4
 32, 11.8
 33, 12.4
 34, 12.2
 35, 11.8
 36, 12.8
 37, 13.6
 38, 14
 39, 15.6
 40, 16
 41, 15.2
 42, 17
 43, 15.8
 44, 18.4
 45, 19.6
 46, 18.4
 47, 20
 48, 21.8
 49, 22
