Size, Time
 1, 0.2
 2, 0.2
 3, 0.6
 4, 1
 5, 1.4
 6, 1.8
 7, 1.8
 8, 2.6
 9, 3
 10, 3.6
 11, 3.8
 12, 4.6
 13, 4.6
 14, 5
 15, 5.4
 16, 6.4
 17, 7.2
 18, 8.2
 19, 7.8
 20, 9.2
 21, 9
 22, 10.4
 23, 10.2
 24, 11
 25, 11.4
 26, 12.8
 27, 12.8
 28, 13.4
 29, 16.4
 30, 14.8
 31, 16.4
 32, 16.4
 33, 17.2
 34, 17.2
 35, 18.4
 36, 18.4
 37, 19.6
 38, 20.4
 39, 20.6
 40, 23
 41, 22.6
 42, 24.2
 43, 22.4
 44, 27.2
 45, 27.2
 46, 26
 47, 29.4
 48, 27.8
 49, 29.8
