Size, Time
 1, 0.6
 2, 2.2
 3, 0.4
 4, 0.6
 5, 0.8
 6, 0.8
 7, 0.4
 8, 0.4
 9, 0.4
 10, 0.4
 11, 0.6
 12, 0.4
 13, 0.4
 14, 0.6
 15, 0.6
 16, 0.8
 17, 0.8
 18, 0.8
 19, 0.6
 20, 0.8
 21, 0.8
 22, 0.6
 23, 0.6
 24, 0.8
 25, 1
 26, 1
 27, 1.2
 28, 1
 29, 1
 30, 1
 31, 1
 32, 1.2
 33, 1.2
 34, 1.4
 35, 1.2
 36, 1.4
 37, 1.4
 38, 1.2
 39, 1.4
 40, 1.2
 41, 1.4
 42, 1.8
 43, 1.8
 44, 2.2
 45, 1.6
 46, 1.6
 47, 2
 48, 1.6
 49, 2
